"Serial","Name","Third party identifier","Communication status","Timestamp","State","Source","Lat","Lon","Accuracy","Address","Geozones","Altitude (m)"
"NWXJNZ","to MerryHill Scrap NWXJNZ","","ONLINE","2026-02-12T12:45:05+0000","TILT","WIFI","52.37586379","-2.06290749","54","Mill Lane, Fairfield, Bromsgrove, Worcestershire, England, B61 0BX, United Kingdom","Bromsgrove HQ",""
"PQ6M7C","PQ6M7C","","ONLINE","2026-02-16T07:38:00+0000","STOP","WIFI","53.84200475","-2.97257139","15","Spiro House, Unit, 2 Cocker Ave, Poulton-le-Fylde FY6 8JU","Elite Linen",""
"QFEQN2","QFEQN2","","OFFLINE","2025-01-08T11:37:00+0000","STOP","WIFI","51.49729778","-0.13797866","15","Angela Hooper Place, Victoria, City of Westminster, SW1E 6AW, United Kingdom","",""
"U34RDH","WHS U34RDH","","OFFLINE","2025-02-24T14:12:00+0000","STOP","WIFI","55.8470699","-4.02779656","15","Dunkeld Place, Kirkshaws, Coatbridge, ML5 5EA, United Kingdom","",""
"UCKJG4","UCKJG4","","OFFLINE","2025-07-10T15:40:00+0000","STOP","GPS","52.37656","-2.06407","10","Wildmoor Mill","Bromsgrove HQ",""
"UCQGA2","UCQGA2","","OFFLINE","2025-05-15T04:20:00+0000","START","GPS","51.29215","0.50054","40","ME160LW","NHS Supply Chain , ME160LW, Unipart Logistics, ME160LW",""
"UTLRQX","WHS UTLRQX","","OFFLINE","2024-10-21T08:42:00+0000","START","WIFI","51.49957281","-0.16224213","89","87-135, Brompton Road, Knightsbridge, London, SW1X 7XL, United Kingdom","",""
"VC7CX4","SNT3 VC7CX4","","READY_FOR_USE","","","","0.0","0.0","","","",""
"X9A7KY","X9A7KY","","ONLINE","2025-11-25T23:00:00+0000","STOP","GPS","52.3767","-2.0635","20","Wildmoor Mill","Bromsgrove HQ",""
"Y4PVZF","WHS Y4PVZF","","ONLINE","2026-02-16T14:25:00+0000","STOP","WIFI","53.81439259","-1.76563508","101","Sidings Close, Bolton Woods, Bradford, West Yorkshire, England, BD2 1AS, United Kingdom","Oasis Academy, Lister Park",""
"YCDVEK","ALPS Sample Tracker","N5 YCDVEK","OFFLINE","2025-11-08T11:57:00+0000","STOP","WIFI","51.87640033","-0.06380033","15","Kingsfield Road, Little Munden, Dane End, SG12 0LY, United Kingdom","",""
"YVZY4J","RCR YVZY4J","","OFFLINE","2025-12-23T11:07:00+0000","START","WIFI","51.89806484","-8.33275676","15","Caherlag ED, County Cork, T45 DA34, Ireland","",""
